latitude,longitude,depth,gap,dmin,rms,place,horizontalError,depthError,magError,magNst,Magnitude,Date,Time,Amplitude,Frequency,Velocity,Seismic_Energy,Seismic_Moment,Risk_Zone,Acceleration
48.38,154.96,35.0,92.0,5.04,0.63,"269km SSW of Severo-Kuril'sk, Russia",7.6,1.7,0.04,248.0,5.2,2018-11-27,14:34:20,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
36.07,139.78,48.82,113.0,1.36,1.13,"3km SSW of Sakai, Japan",6.0,6.1,0.07,19.0,4.8,2018-11-26,23:33:50,63095734.45,0.02,879.16,1000000000000.0,1.9952623149688664e+16,Low,87.54833936466002
38.86,141.84,50.56,145.0,1.29,0.84,"26km SSE of Ofunato, Japan",8.4,9.5,0.16,12.0,4.86,2018-11-26,13:04:02,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
50.07,156.14,66.34,128.0,3.19,0.62,"67km S of Severo-Kuril'sk, Russia",9.7,7.8,0.04,151.0,4.94,2018-11-26,05:20:16,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
33.95,134.49,38.19,104.0,0.56,0.61,"9km SW of Komatsushima, Japan",3.4,10.1,0.13,17.0,4.94,2018-11-25,09:19:05,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
48.42,155.03,35.0,85.0,4.99,0.77,"263km SSW of Severo-Kuril'sk, Russia",6.6,1.8,0.06,90.0,4.94,2018-11-25,03:16:46,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
37.18,141.17,46.76,140.0,0.75,0.8,"29km ENE of Iwaki, Japan",7.2,6.2,0.06,81.0,5.45,2018-11-23,14:30:14,281838293.13,0.0,1858.1,9440608762859.26,1.8836490894897942e+17,Medium,41.42360699037582
29.34,142.31,10.0,130.0,2.24,0.76,"250km N of Chichi-shima, Japan",9.4,1.9,0.09,37.0,5.03,2018-11-23,07:19:51,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
44.45,148.08,101.46,85.0,3.95,1.08,"88km S of Kuril'sk, Russia",7.7,2.1,0.1,9.0,4.7,2018-11-20,20:16:02,50118723.36,0.02,783.55,707945784384.14,1.4125375446227496e+16,Low,98.23085241063954
30.41,130.07,123.0,30.0,2.79,0.89,"96km WSW of Nishinoomote, Japan",5.9,1.8,0.04,54.0,5.5,2018-11-20,19:09:48,316227766.02,0.0,1968.19,11220184543019.65,2.238721138568347e+17,Medium,39.1064067142579
42.0,142.77,73.55,114.0,0.29,0.61,"49km SE of Shizunai, Japan",9.4,8.5,0.27,5.0,4.86,2018-11-20,15:38:31,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
24.19,125.2,30.25,76.0,2.02,1.14,"67km S of Hirara, Japan",8.3,5.1,0.06,27.0,4.6,2018-11-18,23:02:08,39810717.06,0.03,698.34,501187233627.27,1e+16,Low,110.21682918655014
30.78,141.98,10.0,124.0,2.96,0.81,"Izu Islands, Japan region",9.0,1.9,0.1,36.0,5.11,2018-11-18,01:51:22,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
25.39,141.03,115.25,108.0,1.99,1.03,"74km NNW of Iwo Jima, Japan",6.2,7.3,0.1,33.0,5.11,2018-11-17,07:40:05,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
26.34,143.86,36.24,139.0,1.68,0.93,"182km ESE of Chichi-shima, Japan",10.3,7.6,0.06,80.0,5.11,2018-11-16,12:09:51,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
39.6,141.94,49.23,137.0,1.36,0.69,"4km SSW of Miyako, Japan",7.3,7.5,0.11,25.0,4.86,2018-11-16,02:49:12,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
42.68,141.98,35.0,75.0,1.09,0.61,"31km E of Tomakomai, Japan",5.5,1.9,0.04,193.0,5.11,2018-11-14,10:07:30,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
34.77,139.98,105.5,97.0,1.48,0.71,"26km SSE of Tateyama, Japan",6.3,6.8,0.11,28.0,5.28,2018-11-14,04:09:41,190546071.8,0.01,1527.81,5248074602497.71,1.0471285480508986e+17,Medium,50.37881091797208
45.27,150.48,54.13,129.0,5.63,0.75,"203km E of Kuril'sk, Russia",10.0,5.7,0.06,89.0,5.11,2018-11-13,21:09:33,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
42.96,139.27,8.66,94.0,2.55,0.62,"101km W of Iwanai, Japan",7.1,3.0,0.09,40.0,4.86,2018-11-12,01:44:52,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
31.42,141.88,10.0,123.0,2.43,0.95,"268km SE of Hachijo-jima, Japan",7.9,1.9,0.09,42.0,5.2,2018-11-11,08:26:37,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
49.54,155.83,42.08,171.0,3.76,0.96,"128km S of Severo-Kuril'sk, Russia",11.9,9.2,0.08,46.0,4.94,2018-11-11,01:50:00,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
31.45,141.76,10.0,138.0,2.34,0.64,"258km SE of Hachijo-jima, Japan",7.0,1.9,0.07,65.0,5.03,2018-11-09,18:19:01,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
31.41,141.62,7.65,89.0,2.29,0.92,"252km SE of Hachijo-jima, Japan",6.7,4.7,0.05,145.0,5.2,2018-11-09,18:08:35,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
44.71,145.67,22.35,134.0,2.28,0.67,"72km NNW of Otrada, Russia",8.2,6.1,0.06,90.0,5.03,2018-11-09,16:09:01,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
40.73,142.55,46.17,124.0,1.13,0.59,"92km ENE of Hachinohe, Japan",6.5,6.5,0.06,84.0,4.86,2018-11-08,23:05:36,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
46.4,150.66,93.0,129.0,6.95,1.0,"251km ENE of Kuril'sk, Russia",10.9,7.1,0.03,286.0,5.11,2018-11-06,14:26:50,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
31.35,130.29,153.81,95.0,1.84,0.7,"8km SSW of Kaseda, Japan",5.7,6.6,0.08,46.0,4.86,2018-11-06,14:06:55,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
29.29,130.54,35.0,115.0,3.16,0.76,"145km NE of Naze, Japan",8.5,2.0,0.06,101.0,5.11,2018-11-06,05:41:00,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
29.24,130.53,36.22,108.0,3.12,0.88,"140km NE of Naze, Japan",5.7,5.2,0.07,18.0,5.0,2018-11-05,14:46:58,100000000.0,0.01,1106.8,1995262314968.88,3.981071705534986e+16,Medium,69.54211786057272
29.29,130.55,20.13,108.0,3.17,0.54,"146km NE of Naze, Japan",6.1,3.0,0.06,102.0,5.11,2018-11-05,14:39:14,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
44.48,145.6,13.17,134.0,2.19,0.66,"50km NNW of Otrada, Russia",8.4,5.8,0.09,35.0,4.86,2018-11-05,13:16:03,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
33.63,135.27,38.72,73.0,1.17,0.63,"14km SW of Tanabe, Japan",5.4,4.1,0.08,17.0,4.6,2018-11-04,23:19:17,39810717.06,0.03,698.34,501187233627.27,1e+16,Low,110.21682918655014
44.56,145.59,8.03,61.0,2.2,0.8,"59km NNW of Otrada, Russia",6.9,3.5,0.06,23.0,5.9,2018-11-04,19:26:03,794328234.72,0.0,3119.38,44668359215096.53,8.912509381337514e+17,Medium,24.67447453259055
